"userId","id","title","description","path","genre","keyword","uploaded_at","thumbnail"
"66fb862f268a919f34301bae","934772","Fear Song | Devara Part - 1 | NTR | Koratala Siva | Anirudh Ravichander | 27 Sep 2024","???? Music Slate ????
Starring : Saif Ali Khan, Janhvi Kapoor, Prakash Raj, Srikanth, Shine Tom Chacko

Presented by: Nandamuri Kalyan Ram
Music: Anirudh Ravichander
DOP: Rathnavelu ISC
Production Designer : Sabu Cyril
Editor: Sreekar Prasad
Producer: Sudhakar Mikkilineni - Kosaraju Harikrishna
Banners: Nandamuri Taraka Ramarao Arts, Yuvasudha Arts 
DI: Annapurna Studios
Colorist : Vivek Anand

Music Credits
Fear Song
Composed by Anirudh Ravichander
Lyrics - Ramajogayya Sastry
Vocals - Anirudh Ravichander
Keyboards, Synth & Rhythm Programmed by Anirudh Ravichander
Electric Guitar - Keba Jeremiah
Backing Vocals - Saketh Komanduri, Arun Kaundinya, Ritesh G Rao, Saicharan Bhaskaruni, Chaitu Satsangi, Sumanas Kasula, J.V.Sudhanshu, Anirudh Suswaram, 
Arjun Vijay, Akhil Chandra 
Backing Vocals Supervised by Sri Krishna

Additional Rhythm Programmed by Shashank Vijay
Additional Keyboard Programmed by Arish, Sai Abhyankkar, Ashwin Krishna

Music Advisor - Ananthakrrishnan
Creative Consultant - Sajith Satya
Recorded at
Albuquerque Records, Chennai. Engineered by Srinivasan M, Shivakiran S 
Recorded at Sruthi audio labs,Hyderabad.Engineered by Srinath Komanduri
Mixed by Vinay Sridhar & Srinivasan M at Albuquerque Records, Chennai
Mastered by Luca Pretolesi at Studio DMI, Las Vegas, Assisted by Alistair
Music Coordinator - Velavan B","uploads/1727853101311-Fear Song _ Devara Part - 1 _ NTR _ Koratala Siva _ Anirudh Ravichander _ 27 Sep 2024.mp4","Music","Fear Song | Devara Part - 1 | NTR | Koratala Siva | Anirudh Ravichander |","2024-10-02 12:41:41","thumbnails/1727853101572-resized-1727853101558-youtube_1.jpeg"
"66fb862f268a919f34301bae","934773","Chuttamalle | Devara Second Single | NTR | Janhvi Kapoor | Anirudh Ravichander | Shilpa Rao | 27 Sep","Here’s #Chuttamalle from Devara Part - 1 ft. NTR, Janhvi Kapoor. Written & Directed by Koratala Siva. The Film’s music is composed by Anirudh Ravichander. Grand Release on September 27th,2024

#Devara #NTR30 #DevaraSecondSingle #ManOfMassesNTR 
------------------------------------------ 
Connect with T-Series Telugu: ???? http://bit.ly/SubscribeToTseriesTelugu
------------------------------------------
♪Full Song Available on♪ 
JioSaavn: https://bit.ly/3SFV58z
Spotify: https://bit.ly/3SxGlJ2
Hungama: https://bit.ly/4fAfaHq
Apple Music: https://bit.ly/3WRODh6
Gaana: https://bit.ly/3AdnnB5
Amazon Prime Music: https://bit.ly/3WBgKjk
Wynk: https://bit.ly/46Coeay
YouTube Music: https://bit.ly/3LRGEua
------------------------------------
???? Music Slate ????
Starring : Saif Ali Khan, Janhvi Kapoor, Prakash Raj, Srikanth, Shine Tom Chacko

Music: Anirudh Ravichander
DOP: Rathnavelu ISC
Production Designer : Sabu Cyril
Editor: Sreekar Prasad
Producer: Sudhakar Mikkilineni - Kosaraju Harikrishna
DI: Annapurna Studios
Lyrical Video : Walls & Trends
PRO:
Digital Media: Nani
Telugu: Vamsi Kaka
Music Label: T-Series


Music Credits 
Song Title : Chuttamalle 
Composed by Anirudh Ravichander 
Lyrics - Ramajogayya Sastry 
Vocals - Shilpa Rao 
Choreographer - Bosco Martis 
Keyboards, Synth & Rhythm Programmed by Anirudh Ravichander 
Electric & Acoustic Guitar, Charango - Keba Jeremiah 
Solo Violin - Ananthakrrishnan 
Rhythm Produced by Shashank Vijay 
Additional Rhythm & Percussions Programmed by Karthik Vamsi 
Additional Keyboard Programmed by Arish, Beven, Narendar S 
Music Advisor - Ananthakrrishnan 
Creative Consultant - Sajith Satya 
Recorded at Albuquerque Records, Chennai. 
Engineered by Srinivasan M, Shivakiran S 
Mixed by Vinay Sridhar & Srinivasan M at Albuquerque Records, Chennai 
Mastered by Luca Pretolesi at Studio DMI, Las Vegas, Assisted by Alistair 
Music Coordinator - Velavan B
 
Music Label: T-Series
---------------------------
Enjoy & stay connected with us!!

????Subscribe to T-Series Telugu: http://bit.ly/SubscribeToTseriesTelugu
????Like us on Facebook:   / tseriestelugu  
????Follow us on Instagram: http://bit.ly/InstagramT-SeriesSouthO...
????Follow us on Twitter: http://bit.ly/TwitterT-SeriesSouthOff...
????Follow us on Whatsapp:- https://whatsapp.com/channel/0029VaYv...

Thanks Everyone for Watching Our Latest Telugu Song 2024. If you like the song than Please SUBSCRIBE Our Channel With Bell Icon to get notification of all of our newest releases. Will Make Sure to provide best Telugu songs of all time.
","uploads/1727853323215-Chuttamalle _ Devara Second Single _ NTR _ Janhvi Kapoor _ Anirudh Ravichander _ Shilpa Rao _ 27 Sep.mp4","Music","Chuttamalle | Devara Second Single","2024-10-02 12:45:23","thumbnails/1727853323476-resized-1727853323470-youtube_2.jpeg"
"66fb862f268a919f34301bae","934774","Ninnila Full Video Song | Tholi Prema Video Songs | Varun Tej, Raashi Khanna | SS Thaman","Experience the magic of love with this melodious track as it beautifully captures the essence of romance. #AdityaMusic presents the enchanting '#Ninnila' video song from the movie 'Tholi Prema,' starring Varun Tej and Raashi Khanna. With the soulful voice of Armaan Malik and the magical music of SS Thaman, 'Ninnila' is a beautiful love song that will captivate your heart.

Join our whatsapp channel for more updates : 
For more updates in youtube subscribe to:     / @adityamusic  
Click here to share on Facebook - https://bit.ly/2PkSZv5

Listen on Apple Music-  https://goo.gl/zDRt8e

Audio also available on:
JioSaavn- https://goo.gl/D9cheb
Gaana- https://goo.gl/RA41Y9
Raaga- https://goo.gl/T8mHzi
Wynk- https://goo.gl/mzXgnh

Song: Ninnila
Movie: Tholiprema
Banner: Sri Venkateswara Cine Chitra
Producer: BVSN PRASAD
Director: Venky Atluri
Starring: VarunTej, Raasi Khanna
Music: SS Thaman
Lyrics: Sri Mani 
Singer: Armaan Malik
Choreography: Shekhar Master  
Cinematography : George C. Williams
Editor : Naveen Nooli 
Art Director : Kiran Kumar

Musicians : 
All songs programmed & arranged by Thaman S 
Flute - Kamalakar 
Violin : Sandilya 
Veena : Sree Vaani , Rajesh Vaithi , haritha 
Guitar - Arun Chillaveru , Vagu Mazhan , 
Keba Additional Vocal arrangement - Sri Krishna , 
Strings & Harp - Seenu 
Live percussion - the cult drum company - by Kishore & Thaman. Chennai strings section conducted by - Ravikumar
Songs recorded at V STUDIOS ( chennai ) YRF Mumbai & New Edge Mumbai By Osho Mixed & Mastered by Shadab Rayeeen @ New Edge ( Mumbai & New York )
Program Co Ordinator : Manigandan 
Studio assistance by Baskar, Seenu
Music Lable: Aditya Music","uploads/1727853444031-Ninnila Full Video Song _ Tholi Prema Video Songs _ Varun Tej, Raashi Khanna _ SS Thaman.mp4","Music","Ninnila Full Video Song | Tholi Prema Video Songs","2024-10-02 12:47:24","thumbnails/1727853444287-resized-1727853444282-youtube_3.jpeg"
"66fb862f268a919f34301bae","934775","ANIMAL: Evarevaro (Full Video) - Ranbir Kapoor,Tripti Dimri | Sandeep V | Vishal M | Bhushan K","Presenting The Full Video Song ""Evarevaro"" From The Film Animal Starring Ranbir Kapoor, Rashmika Mandanna, Anil Kapoor, Bobby Deol & Shakti Kapoor.

#Ranbirkapoor #Rashmikamandanna In #Animal The Film By #Sandeepreddyvanga
 -------------------------------------
♪Full Song Available on♪ 
JioSaavn: https://bit.ly/489DZWb
Spotify: https://bit.ly/3Np1pin
Hungama: https://bit.ly/46BZdum
Apple Music: https://bit.ly/3RiQN6E
Amazon Prime Music: https://bit.ly/3N2ApEO
YouTube Music: https://bit.ly/3Rh1TsU
--------------------------------------
Audio Credits:
Primary Artists: Vishal Mishra, Anantha Sriram

Singer: Vishal Mishra
Composer: Vishal Mishra
Lyrics: Anantha Sriram
Music Produced By: Vishal Mishra 
Co-Produced By: Bixal
Music Assistants: Kumar Gaurav Singh, Trihangku Lahkar, Bixal
Guitars: Ishan Das, Bixal & Vishal Mishra
Backing Vocals: Bixal  
Recording Engineer @ VM Studio: Trihangku Lahkar
Mixed and Mastered By: Shadab Rayeen at New Edge
Mix Assistant Engineers: Pukhraj Sonkar & Anup Gandharla

Film Credits:
Writer – Editor –Director: Sandeep Reddy Vanga
Produced By: Bhushan Kumar, Pranay Reddy Vanga, Murad Khetani, Krishan Kumar
Co-Producer: Shiv Chanana, Firuzi Khan   
President (T-Series): Neeraj Kalyan
Screenplay: Sandeep Reddy Vanga, Pranay Reddy Vanga & Suresh Bandaru 
Dialogues: Saurabh Gupta  
Dop: Amit Roy  
Production Designer: Suresh Selvarajan   
Action: Supreme Sundar  
Costume Designer: Sheetal Iqbal Sharma 
Executive Producer: Mahipal Rathore 
Music: Pritam, Vishal Mishra, Manan Bhardwaj, Shreyas Puranik, Jaani, Ashim Kemson, Harshavardhan Rameshwar, Gurinder Seagal
Lyrics: Manoj Muntashir, Jaani, Siddharth-Garima, Raj Shekhar, Bhupinder Babbal, Manan Bhardwaj, Ashim Kemson, Gurinder Seagal
Bgm: Harshavardhan Rameshwar 
Sound Design: Sync Cinema 
Sound Mixing: Raja Krishnan M.R 
Assoc.Editor: Md. Zayeemuddin 
Assoc.Directors: Shanmukha Gowtham.G, Srikanth Varma.G 
1st Ad: Praatiek Dodeja 
Project Head: Alok Kumar Shukla 
Digital Intermediate: Do It Creative,  Ny Di-Waala
Post Production : The Post Co. 
Line Producer: Max Rahman, Shivkumar Tiwari 
Marketing & Promotions (T-Series): Shivam Chanana, Raj Chanana, Prashant Shetty, Mita Choudhary, Rahul Dubey, Amol Bhamare, Heett Savla

Music On: T-Series  

Music Team (T-Series): Raj Chanana, Shivam Chanana, Sonal Chawla, Sonu Srivastava, Vivin Sachdeva
Pr Agency: Communiqué Film Pr 
Marketing Agency: Varun Gupta (Max), Walls & Trends   
Publicity Design: Anil & Bhanu
Visual Effects : Do It Creative Ltd, Ny Vfxwaala, Visual Birds Studio, Famous Studios, Red Chillies.Vfx  
Visual Promotion: Just Right Studioz Nx","uploads/1727853617539-ANIMAL_ Evarevaro (Full Video) - Ranbir Kapoor,Tripti Dimri _ Sandeep V _ Vishal M _ Bhushan K.mp4","Music","ANIMAL: Evarevaro (Full Video)","2024-10-02 12:50:17","thumbnails/1727853617657-resized-1727853617650-youtube_4.jpeg"
"66fb862f268a919f34301bae","934776","Full Video: Priya Mithunam Song | Adipurush | Prabhas | Ajay Atul,Ramajogayya S | Om Raut","ADIPURUSH CELEBRATING VICTORY OF GOOD OVER EVIL

Gulshan Kumar & T-Series present
A T-Series Films and Retrophiles production 
Starring Prabhas, Saif Ali Khan, Kriti Sanon, Sunny Singh,
Directed by Om Raut.
Produced by Bhushan Kumar, Krishan Kumar, Om Raut, Prasad Sutar, Rajesh Nair,Vamsi Pramod

Watch it in Hindi, Telugu, Tamil, Kannada, Malayalam. 

#Adipurush #adipurushprabhas  
------------------------------------------ 
Connect with T-Series Telugu: ???? http://bit.ly/SubscribeToTseriesTelugu
------------------------------------------
???? Music Slate ????
Song - Priya Mithunam
Music - Ajay-Atul
Singer - Karthik,Shweta Mohan
Lyrics - Saraswathi Puthra Ramajogayya Sastry

Recorded by : Vijay Dayal @ YRF studios
Assisted by : Chinmay Mestry & Kittu Mayakal @ Sound Ideaz studios
Mixed by : Pramod Chandorkar @ Sound Ideaz studios
Mastered by : Donal Whelan at Hafod Mastering (Wales)
Music composed, arranged, produced & conducted by Ajay- Atul

Music Label: T-Series","uploads/1727853782529-Full Video_ Priya Mithunam Song _ Adipurush _ Prabhas _ Ajay Atul,Ramajogayya S _ Om Raut.mp4","Music","Full Video: Priya Mithunam Song | Adipurush","2024-10-02 12:53:03","thumbnails/1727853782957-resized-1727853782945-youtube_5.jpeg"
"66fb862f268a919f34301bae","934777","The Life Of Ram Video Song (Telugu) | #Jaanu Video Songs | Sharwanand | Samantha | Govind Vasantha","Experience the soul-stirring melody of ""#TheLifeofRam,"" song from the beautiful movie ""#Jaanu."" Immerse yourself in a beautiful musical journey as #Sharwanand and #Samantha steal your heart with their remarkable performances. This heartfelt track is sung by the talented #PradeepKumar and composed by #GovindVasantha.

Stay updated with the latest videos, Subscribe on the link - http://bit.ly/adityamusic
Click here to share on Facebook- https://bit.ly/3v3iHeg

???? Song Credits:
Song : The Life Of Ram
Lyrics: Sirivennela Seetharama Sastry
Singer: Pradeep Kumar
Music : Govind Vasantha
Movie Name - Jaanu
Cast - Sharwanand, Samantha
Director - C Premkumar
Producers - Raju, Shirish
Co-Producer - Harshith Reddy
DOP - Mahendiran Jayaraju
Dialogues:Mirchi Kiran
Editor - Praveen K L

#Jaanu #Thelifeoframvideosong #Trendingsongs #Telugusongs #Newsongs #Teluguvideosongs#Teluguhits #Popularsongs #Populartelugusongs #Teluguhits #adityamusic #telugulovesongs #telugulyricalsong #telugutravelvideos #telugutrendingsongs #teluguhitsongs #telugupopularsongs #evergreensongs #evergreensongstelugu","uploads/1727853938120-The Life Of Ram Video Song (Telugu) _ #Jaanu Video Songs _ Sharwanand _ Samantha _ Govind Vasantha.mp4","Music","The Life Of Ram Video Song (Telugu)","2024-10-02 12:55:38","thumbnails/1727853938379-resized-1727853938374-youtube_6.jpeg"
"66fb862f268a919f34301bae","934778","Inthandham Video Song - Sita Ramam (Telugu) | Dulquer | Mrunal | Vishal | Hanu Raghavapudi","Sita Ramam starring Dulquer Salmaan, Mrunal Thakur, Rashmika, Sumanth, directed by Hanu Raghavapudi, produced by Vyjayanthi Movies and Swapna Cinema.

Movie - Sita Ramam (Telugu) 
Song - Inthandham
Lyrics - Krishnakanth
Singers - SPB Charan

A Film By Hanu Raghavapudi
Producer: Chalasani Ashwini Dutth
Produced by Swapna Cinema
Presented by Vyjayanthi Movies
Music: Vishal Chandrasekhar 
Editor: Kotagiri Venkateswara Rao
DOP: PS Vinod, Shreyaas Krishna
Production Designer: Sunil Babu
Executive Producer: Geetha Gautham
Promo Shot & Cut: Prasanth Ankireddy
Dialogues: Hanu Raghavapudi, Jay Krishna, Raj Kumar Kandamudi 
Costume Designer: Sheetal Sharma

Additional Screenplay: Rutham Samar, Raj Kumar Kandamudi 
Art Director: Vaishnavi Reddy, Faisal Ali Khan
Sound Designer: Jay Krishna
DI: Annapurna Studios
Colorist : Vishnu Vardhan 
PRO: Vamsi - Shekar
Digital Media & Marketing Partner: Silly Monks
Digital Media PR & Marketing: Prasad Bhimanadham
Marketing Team: Mrinalini Vemulapati, Bend the Spoon Marketing
Music Label - Sony Music Entertainment India Pvt. Ltd.

Musician Credits :
Composed, Arranged and Programmed by Vishal Chandrashekhar
Music Supervisor and Choral Conductor - Sinduri S

Chorus team:
Aravind Annestt, Sai Sharan, Sarath Santosh, Pitty Vikram, Praveen RG, Shibi Srinivasan, Sreekanth Hariharan, Deepesh Krishnamoorthy, Keshav Vinod, Sudharshan Ajay, Velu, Balaji Sri, 
Sushmita Narasimhan, Devu Mathew, Feji Mathew, Aishwarya Kumar, Triya Sushma, Padmaja Sreenivasan, Kiran Sravana, Bhuvana Ananth, Akshaya Shivakumar, Aparna Hari

Kids Chorus Singers :
Dhanika Krishnasamy, Vishruthi.V, Yohitha.K, Aasitha.K, Shivathmika, Adhira Suresh Kumar, Ananya Swaminathan, Maya Swaminathan

Strings - The Chennai Strings Orchestra
Conductor - Yensone Bagyanathan 
Acoustic Guitars, Guitalele, Nylon Guitar - Chris Jason
Banjo, Bouzouki, Electric Mandolin, Acoustic Mandolin, Oud, Ruan, Saz, Ukulele - Subhani
Flute - Lalit Talluri
Veena - Punya Srinivas
Additional Programming by - Deepak Chander S

Recorded at
Moksha Studios, Hyderabad
SoundDokk, Hyderabad
20db Sound Studios, Chennai
Offbeat Studios, Chennai
AM Studios, Chennai
2barq Studios, Chennai 
Soundtown Studios, Chennai
MyStudio, Cochin

Sound Design - K.Jai Ganesh (The Sound Smith)

Audiography - A.M.Rahmathullah

Recording Engineers :Chandu, Venkat, Avinash Sathish, Hariharan, Pradeep Menon, Sathyakumar, Divine Joseph , Vishnu, Akshay, Midhun Manoj, Lokesh Vijayakumar, Aditya
Mixed by Jaiganesh 
Mastered by Rahmathullah AM
Lyrical Video: Walls & Trends

Music Label - Sony Music Entertainment India Pvt. Ltd.
","uploads/1727854071122-Inthandham Video Song - Sita Ramam (Telugu) _ Dulquer _ Mrunal _ Vishal _ Hanu Raghavapudi.mp4","Music","Inthandham Video Song - Sita Ramam (Telugu) ","2024-10-02 12:57:51","thumbnails/1727854071318-resized-1727854071313-youtube_7.jpeg"
"66fb862f268a919f34301bae","934779","So So Ga Full Video Song | Manchi Rojulochaie Songs | Santosh | Maruthi | Anup Rubens | Sid Sriram","""#SoSoGa '' is a heartwarming love song from the movie ""#ManchiRojulochaie,"" featuring #SantoshShoban and #MehreenPirzada. With music composed by #AnupRubens and the soulful voice of #SidSriram, this full video song is brought to you by #AdityaMusic. 

#Sosoga #Sosogasong #Manchirojulochaie #Manchirojulochaiemovietelugu #Sidsriramsongs #SantoshShoban #MehreenPirzada #Maruthi #AnupRubens #VennelaKishore #Telugulovemelodies #Teluguvideosongs 

For more updates subscribe to:     / @adityamusic  
Click here to share on Facebook - https://bit.ly/3v3iHeg

Song: So So Ga
Music: Anup Rubens 
Singer: Sid Sri Ram
Lyrics: Krishna Kanth
Directed By: Maruthi
Cinematography: Sai Sriram
Art Director: Ram Kumar
Music: Anup Rubens
Produced By:  V celluloid & SKN. 
Presented By: UV Concepts & Mass Movie Makers
PRO: Eluru Sreenu
Audio On #adityamusic ","uploads/1727854257798-So So Ga Full Video Song _ Manchi Rojulochaie Songs _ Santosh _ Maruthi _ Anup Rubens _ Sid Sriram.mp4","Music","So So Ga Full Video Song","2024-10-02 13:00:58","thumbnails/1727854257961-resized-1727854257957-youtube_8.jpeg"
"66fb862f268a919f34301bae","934780","Oh Priya Priya Full Video Song || Ishq Movie || Nitin || Nithya Menon || Anup Rubens","Oh Priya Priya Full Video Song || Ishq Movie || Nitin || Nithya Menon || Anup Rubens","uploads/1727854398467-Oh Priya Priya Full Video Song __ Ishq Movie __ Nitin __ Nithya Menon __ Anup Rubens.mp4","Music","Oh Priya Priya Full Video Song ","2024-10-02 13:03:18","thumbnails/1727854398697-resized-1727854398687-youtube_9.jpeg"
"66fb862f268a919f34301bae","934781","Ola Olaala Ala Full Song ll Orange Movie ll Ram Charan Teja, Genelia D'Souza","Watch & Enjoy #OolaOolalaAlaVideoSong From Film #Orange-ఆరెంజ్ Movie starring #Ram Charan, #Genelia D'Souza, #ShazahnPadamsee, #SanchitaShetty, #Prabhu, #Prakash Raj, Srinivas Avasarala, Among others. Directed by Bhaskar and Produced by Nagendra Babu Music composed by Harris Jayaraj.

Director :   Bhaskar
Producer :   Nagendra Babu
Music Director :    Harris Jayaraj
Lyricst : Surendra Krishna, Kedarnath, Vanamali, Ramajogaya Sastry
Cast :   Ram Charan Teja, Genelia D'Souza, Shazahn Padamsee, Sanchita Shetty

Song Credits :

Song Name : Ola Olaala Ala
Lyrics : Surendra Krishna, Kedarnath Parimi
Singers : Karunya, Ranina Reddy


Oola olala ala chusthene chala ila na kallu ninne chusthundaala
Chala lovely ga ila repaavu gola madey sealona surfing chesthondila","uploads/1727854788047-Ola Olaala Ala Full Song ll  Orange Movie ll Ram Charan Teja, Genelia D'Souza.mp4","Music","Ola Olaala Ala Full Song","2024-10-02 13:09:48","thumbnails/1727854788206-resized-1727854788202-youtube_10.jpeg"
